State,Data Scientist,Data Engineer,Data Analyst,Data Vis Specialist,Database Administrator,Professional
Alabama,111402,108879,79876,62280,83472,36932
Alaska,122407,148968,84677,70927,106476,50529
Arizona,114536,111943,82123,64032,85820,37971
Arkansas,92891,109854,63890,64684,80069,37261
California,131441,122739,74169,70942,92446,41632
Colorado,117956,139003,81074,81738,101561,47149
Connecticut,109897,111373,76617,63197,96776,37777
Delaware,111877,130669,76760,76576,96059,44322
Florida,91843,89766,65851,51346,68819,30448
Georgia,103779,101430,74409,58019,77761,34404
Hawaii,118595,145799,82209,68581,103496,49455
Idaho,126275,117414,70811,67932,88283,39826
Illinois,108858,128739,74872,75804,93833,43668
Indiana,116954,114306,83857,65384,87632,38772
Iowa,109690,110454,76863,62763,97369,37465
Kansas,102344,104131,71124,59037,89673,35321
Kentucky,97776,116246,67321,68584,84421,39430
Louisiana,100631,100876,70765,57377,89824,34216
Maine,127644,119873,72629,69195,90493,40660
Maryland,108449,126548,74394,74135,93089,42924
Massachusetts,123188,147166,84899,86984,106524,49918
Michigan,97737,115074,67165,67643,84130,39033
Minnesota,115258,115539,81053,65718,102883,39190
Mississippi,108712,110592,75561,62702,95275,37513
Missouri,105000,123079,72093,72228,90257,41748
Montana,112811,110256,80886,63067,84527,37398
Nebraska,106424,123847,72966,72476,91273,42008
Nevada,115741,140850,80065,67064,100675,47776
New Hampshire,121666,117704,87898,67482,89889,39925
New Jersey,121955,120789,86566,68887,110458,40971
New Mexico,115421,114888,81613,65450,103915,38970
New York,136172,132125,98166,75700,101015,44816
North Carolina,101792,119499,69910,70167,87539,40534
North Dakota,120890,148944,83837,69877,105574,50521
Ohio,112255,112306,79063,63907,100444,38094
Oklahoma,103063,119937,70662,70187,88391,40682
Oregon,121011,149704,83991,69891,105818,50779
Pennsylvania,124713,121037,89890,69343,92546,41055
Rhode Island,112085,138661,77796,64736,98014,47033
South Carolina,103937,122018,71384,71646,89385,41388
South Dakota,114254,140768,79235,66042,99778,47749
Tennessee,107174,107220,75487,61013,95902,36369
Texas,102927,116624,70205,67536,87551,39558
Utah,106899,107297,75098,61013,95271,36395
Vermont,133828,129022,79108,74029,98402,43764
Virginia,110662,128779,75872,75361,94908,43681
Washington,125289,142449,85515,82604,106686,48318
West Virginia,96317,93478,69422,53555,71475,31707
Wisconsin,120117,119622,84902,68139,108080,40575
Wyoming,119040,115837,85631,66325,88660,39291
