state_name,state_abbr,total_fi_rate,fi_rate_black,fi_rate_hispanic,fi_rate_white,fi_rate_children,fi_rate_adult_50to59,fi_rate_senior_60plus,lfs_rate_adult_50to59,lfs_rate_60plus,cost_per_meal
Alabama,AL,14.8,26,12,10,18.3,14.4,8.9,5.6,3,3.5
Alaska,AK,10.7,19,12,8,12.8,8,8.4,2.8,2.3,4.25
Arizona,AZ,10.3,20,14,8,14,8.5,7.4,4.9,2.8,3.3
Arkansas,AR,15.5,25,16,13,19.1,19.8,7.6,9.6,3.3,3.18
California,CA,10.5,18,13,6,13.5,10.4,7.4,3.9,2.4,3.67
Colorado,CO,9.2,14,16,6,10.5,8.2,7.4,4,2.5,3.72
Connecticut,CT,10.5,21,22,6,11.5,8.8,5.5,4.6,3.2,3.84
Delaware,DE,9.9,18,18,8,14.4,14.9,6,3.4,2.2,3.56
District of Columbia,DC,10.3,19,8,0,14.2,10.3,11.2,4.6,3.2,4.38
Florida,FL,10.6,19,10,8,14.3,6.7,8.5,2.3,3.5,3.75
Georgia,GA,10.7,17,12,7,13.3,8.5,8,2.5,3.2,3.52
Hawaii,HI,11.9,0,16,8,17.8,7.9,3.7,1.7,1.2,4.61
Idaho,ID,8.2,0,15,8,8.6,9.1,5.4,4.2,1.5,3.79
Illinois,IL,9.5,19,12,7,11.3,8.7,7.6,3.9,3.2,3.58
Indiana,IN,10.7,21,16,10,12.9,10.1,6.4,6,3.2,3.17
Iowa,IA,7.5,0,12,7,9.4,7,4.3,1.8,0.9,3.44
Kansas,KS,9.9,24,15,8,13.4,7.9,4.6,4.5,1.5,3.45
Kentucky,KY,12.9,21,15,12,15.2,14.6,6.9,5.1,3.4,3.11
Louisiana,LA,14.8,22,15,10,21.6,8.4,13.4,3.6,4.8,3.39
Maine,ME,10.5,0,0,11,14.6,5.3,4.3,3,1.7,3.83
Maryland,MD,9.7,16,9,5,12.1,9.8,7.2,1.4,2.9,3.76
Massachusetts,MA,8.1,20,16,5,8.4,9,6.4,3.1,3.1,4
Michigan,MI,11.7,26,16,10,13.1,8.7,6,3,2.7,3.34
Minnesota,MN,6.8,25,17,5,9.2,5.3,3.8,0.8,1.3,3.8
Mississippi,MS,16.3,26,20,11,18.8,13.2,12.6,6.6,4.5,3.28
Missouri,MO,11.6,26,12,10,12.8,12.6,7.9,6.2,3.6,3.45
Montana,MT,8.5,0,13,8,12.1,8.7,4.3,4.8,1.9,3.39
Nebraska,NE,10,30,20,8,12,13.1,4.7,4.7,2.6,3.38
Nevada,NV,13,21,14,9,18.5,11.3,4.6,3.3,1.4,3.5
New Hampshire,NH,6.8,0,22,7,8.5,4,2.9,2.3,0.5,3.71
New Jersey,NJ,8.8,16,15,4,9.8,10.5,6.4,3.8,1.9,3.77
New Mexico,NM,13.5,21,14,9,19.2,13,5.9,6.9,1.8,3.35
New York,NY,11.4,18,17,6,15.4,10.8,6.6,3.7,2.2,3.78
North Carolina,NC,11.8,21,17,8,15.4,10.6,7.2,2.5,2.4,3.51
North Dakota,ND,5.5,0,0,4,7.5,6.2,2.8,2.6,1.1,3.43
Ohio,OH,11.8,25,18,10,14.8,11.6,4.9,4.8,1.6,3.4
Oklahoma,OK,14.1,25,14,11,19.1,14.7,9.4,5.6,3.6,3.37
Oregon,OR,10.5,24,17,9,12.4,6.3,6.9,2.5,2.8,3.72
Pennsylvania,PA,9.4,22,19,7,12.2,6.4,4.7,1.4,1.7,3.65
Rhode Island,RI,9.3,18,15,7,12.9,8.6,5.2,4.2,1.3,3.87
South Carolina,SC,9.9,19,11,7,12.6,12,10.4,6.4,4.6,3.41
South Dakota,SD,8.1,0,11,7,11.2,10.6,3.4,5.7,0.6,3.57
Tennessee,TN,11.5,21,17,10,12.8,11.1,6.9,3.6,2.7,3.53
Texas,TX,13.7,23,16,8,18.1,14,8.5,4.4,3.3,3.11
Utah,UT,9.5,0,15,8,9.8,7.4,5.4,1.8,1.1,3.38
Vermont,VT,8.9,0,0,9,10.3,12.7,4.3,5.6,1.1,3.98
Virginia,VA,8.1,17,12,5,8.8,7.1,5.2,2.5,2.1,3.64
Washington,WA,8.9,21,17,7,11.8,6.9,3.7,2.2,1.4,3.85
West Virginia,WV,11.7,22,0,12,14,14.1,10.2,5.8,3.4,3.14
Wisconsin,WI,7.2,25,17,5,11.1,6.6,6,3.8,2.8,3.48
Wyoming,WY,10.6,0,11,10,12.2,7.6,7.3,4.4,3,3.5
