Mineral,Net Import Reliance,Top Source of US Imports
Beryllium,0,United States of America
Zirconium,25,South Africa
Tellurium,25,Canada
Lithium,25,Argentina
Palladium,37,Russia
Tungsten,50,China
Magnesium,50,Canada
Germanium,50,Belgium
Nickel,57,Canada
Vanadium,58,Canada
Cobalt,67,Norway
Chromium,74,South Africa
Tin,74,Peru
Aluminum,75,Jamaica
Barite,75,India
Zinc,77,Canada
Antimony,82,China
Platinum,83,South Africa
Lanthanum,94,China
Titanium,95,Japan
Cerium,95,China
Dysprosium,95,China
Erbium,95,China
Gadolinium,95,China
Holmium,95,China
Lutetium,95,China
Neodymium,95,China
Praseodymium,95,China
Samarium,95,China
Terbium,95,China
Thulium,95,China
Ytterbium,95,China
Europium,95,China
Bismuth,96,China
Fluorspar,100,Mexico
Scandium,100,Japan
Manganese,100,Gabon
Arsenic,100,China
Gallium,100,China
Tantalum,100,China
Yttrium,100,China
Graphite,100,China
Niobium,100,Brazil
Cesium,Insufficient Data,Insufficient Data
Indium,Insufficient Data,Insufficient Data
Rubidium,Insufficient Data,Insufficient Data
Ruthenium,Insufficient Data,Insufficient Data
Hafnium,Insufficient Data,Insufficient Data
Rhodium,Insufficient Data,Insufficient Data
Iridium,Insufficient Data,Insufficient Data
